name,category,price,stock,description
Smartphone Samsung Galaxy A14,Smartphones,1299.9,25,"Smartphone com 128GB, câmera tripla e Android 13."
Smartphone Motorola Moto G73,Smartphones,1499.0,15,Smartphones 5G com processador MediaTek e 8GB RAM.
Notebook Dell Inspiron 15,Notebook,3799.99,10,"Notebook com Intel i5, 8GB RAM e SSD 256GB."
Notebook Lenovo IdeaPad 3,Notebook,2999.9,20,"Notebook com AMD Ryzen 5, 8GB RAM e SSD 512GB."
Fone de Ouvido JBL Tune 510BT,Acessório,299.0,50,Fone Bluetooth com até 40h de bateria.
Caixa de Som JBL Flip 6,Som,699.99,18,Caixa de som portátil com Bluetooth e resistente à água.
Monitor LG 24MK430H,Monitor,749.9,12,Monitor Full HD de 24 polegadas com painel IPS.
Teclado Mecânico Redragon Kumara,Periférico,229.0,30,Teclado mecânico com switches Outemu Blue.
Mouse Gamer Logitech G203,Periférico,169.9,40,Mouse gamer com RGB e sensor de 8000 DPI.
Smartwatch Amazfit Bip U,Smartwatch,379.0,22,Relógio inteligente com monitoramento cardíaco e sono.
Roteador TP-Link Archer C6,Rede,229.9,14,Roteador dual band com 4 antenas e MU-MIMO.
SSD Kingston A400 480GB,Armazenamento,249.9,35,SSD SATA com 500MB/s de leitura e 450MB/s de gravação.
HD Externo Seagate 1TB,Armazenamento,329.9,25,HD portátil USB 3.0 compatível com PC e Mac.
TV Samsung 43'' Crystal UHD 4K,TV,2299.9,8,"Smart TV com Tizen, HDR e comando de voz."
Webcam Logitech C920,Periférico,499.9,9,Webcam Full HD com microfone estéreo embutido.
Impressora Multifuncional HP Ink Tank,Impressora,899.0,11,Impressora tanque de tinta com Wi-Fi e scanner.
